SegmentID,SPY
SegmentID,TA
SegmentID,THE
SegmentID,DAD
SegmentID,LS1
SegmentID,PO3
SegmentID,G63
SegmentID,B13
SegmentID,B2A
SegmentID,H6
SegmentID,L11
SegmentID,G05
SegmentID,G61
SegmentID,OID
SegmentID,SDQ
SegmentID,S5
SegmentID,BOX
SegmentID,OOI
SegmentID,BDS
SegmentID,RDR
SegmentID,PRF
SegmentID,G38
SegmentID,PKG
SegmentID,TD1
SegmentID,DD
SegmentID,GF
SegmentID,FA1
SegmentID,FA2
SegmentID,ASM
SegmentID,LTR
SegmentID,BOR
SegmentID,SPK
SegmentID,CD2
SegmentID,UC
SegmentID,UQS
SegmentID,EC
SegmentID,ASL
SegmentID,TOA
SegmentID,TOV
SegmentID,SIN
SegmentID,UCS
SegmentID,FH
SegmentID,UD
SegmentID,MPI
SegmentID,SI
SegmentID,BCU
SegmentID,PDP
SegmentID,PDR
SegmentID,PDS
SegmentID,BAL
SegmentID,CSE
SegmentID,RSD
SegmentID,SLI
SegmentID,LDT
SegmentID,PO1
SegmentID,LIE
SegmentID,BCM
SegmentID,CRT
SegmentID,BSD
SegmentID,CLI
SegmentID,CAL
SegmentID,PD
SegmentID,PDD
SegmentID,PDE
SegmentID,FPT
SegmentID,CDA
SegmentID,LRQ
SegmentID,LN1
SegmentID,CRO
SegmentID,ARS
SegmentID,SOI
SegmentID,TLN
SegmentID,TBI
SegmentID,PPD
SegmentID,RO
SegmentID,LT
SegmentID,LTE
SegmentID,HSD
SegmentID,INX
SegmentID,PPL
SegmentID,PL
SegmentID,PRD
SegmentID,PEX
SegmentID,FAA
SegmentID,CCI
SegmentID,VAR
SegmentID,SCM
SegmentID,SCS
SegmentID,G32
SegmentID,RES
SegmentID,MCD
SegmentID,SOM
SegmentID,BEP
SegmentID,REA
SegmentID,FTH
SegmentID,PPY
SegmentID,TRN
SegmentID,DEX
SegmentID,INT
SegmentID,MPP
SegmentID,LUC
SegmentID,RLD
SegmentID,BUY
SegmentID,IGI
SegmentID,UWI
SegmentID,CTT
SegmentID,AT8
SegmentID,LAD
SegmentID,N7A
SegmentID,N7B
SegmentID,MNC
SegmentID,RLT
SegmentID,IRA
SegmentID,PRC
SegmentID,B2
SegmentID,MS3
SegmentID,PLD
SegmentID,CDI
SegmentID,VDI
SegmentID,REC
SegmentID,DFI
SegmentID,OBI
SegmentID,R3
SegmentID,CD3
SegmentID,L9
SegmentID,BOL
SegmentID,AT1
SegmentID,AT3
SegmentID,AT4
SegmentID,AT2
SegmentID,MAN
SegmentID,AT7
SegmentID,B1
SegmentID,X2
SegmentID,MS6
SegmentID,MS5
SegmentID,MS4
SegmentID,B9
SegmentID,B9A
SegmentID,LCT
SegmentID,PO4
SegmentID,G69
SegmentID,PLC
SegmentID,B10
SegmentID,CSD
SegmentID,Q7
SegmentID,IRP
SegmentID,IIS
SegmentID,STS
SegmentID,BSF
SegmentID,MLA
SegmentID,PTS
SegmentID,TII
SegmentID,INC
SegmentID,ATA
SegmentID,TSD
SegmentID,B11
SegmentID,AT6
SegmentID,PUN
SegmentID,TEM
SegmentID,RST
SegmentID,L8
SegmentID,SCN
SegmentID,CF1
SegmentID,CF2
SegmentID,SCP
SegmentID,TRL
SegmentID,Q5
SegmentID,EQD
SegmentID,STP
SegmentID,GID
SegmentID,GRP
SegmentID,GDP
SegmentID,ANI
SegmentID,ARC
SegmentID,ADI
SegmentID,ATR
SegmentID,AOL
SegmentID,AOR
SegmentID,AST
SegmentID,ADT
SegmentID,AOC
SegmentID,AOI
SegmentID,SSD
SegmentID,TDT
SegmentID,STC
SegmentID,FIS
SegmentID,CSI
SegmentID,MIR
SegmentID,FCL
SegmentID,LN2
SegmentID,MIC
SegmentID,MIS
SegmentID,LIC
SegmentID,BSC
SegmentID,ADX
SegmentID,RET
SegmentID,PTF
SegmentID,MRC
SegmentID,TIS
SegmentID,INV
SegmentID,EMP
SegmentID,CLP
SegmentID,SVC
SegmentID,PRV
SegmentID,INS
SegmentID,HI
SegmentID,EQ
SegmentID,EB
SegmentID,SD1
SegmentID,PKD
SegmentID,PIN
SegmentID,PDI
SegmentID,HAD
SegmentID,HPL
SegmentID,CAT
SegmentID,SBR
SegmentID,PAT
SegmentID,TOO
SegmentID,UM
SegmentID,HCR
SegmentID,VRC
SegmentID,SV1
SegmentID,SV2
SegmentID,SV3
SegmentID,DN2
SegmentID,DRA
SegmentID,CL1
SegmentID,CR1
SegmentID,CR2
SegmentID,CR4
SegmentID,CR5
SegmentID,CR6
SegmentID,CR7
SegmentID,CR8
SegmentID,INI
SegmentID,TC2
SegmentID,STA
SegmentID,N12
SegmentID,W09
SegmentID,EA
SegmentID,Y3
SegmentID,Y4
SegmentID,R2A
SegmentID,PAL
SegmentID,L12
SegmentID,C8
SegmentID,C8C
SegmentID,ISS
SegmentID,CMA
SegmentID,DOS
SegmentID,MI
SegmentID,PAI
SegmentID,Y7
SegmentID,Y1
SegmentID,Y2
SegmentID,Y5
SegmentID,G1
SegmentID,G2
SegmentID,G3
SegmentID,V3
SegmentID,M0
SegmentID,M2
SegmentID,V4
SegmentID,BA2
SegmentID,CD1
SegmentID,UIT
SegmentID,Q3
SegmentID,B12
SegmentID,SN1
SegmentID,G20
SegmentID,LEQ
SegmentID,CTC
SegmentID,CIC
SegmentID,CHR
SegmentID,CYC
SegmentID,PRI
SegmentID,CV
SegmentID,LFI
SegmentID,RA
SegmentID,MC
SegmentID,SW
SegmentID,DM
SegmentID,RU1
SegmentID,RU2
SegmentID,RU3
SegmentID,DRT
SegmentID,CS
SegmentID,BPR
SegmentID,BR
SegmentID,HD
SegmentID,RTE
SegmentID,V5
SegmentID,P5
SegmentID,L13
SegmentID,N21
SegmentID,EXI
SegmentID,MSI
SegmentID,RCD
SegmentID,G66
SegmentID,SCH
SegmentID,RRE
SegmentID,BC
SegmentID,USI
SegmentID,CMC
SegmentID,BCP
SegmentID,CBS
SegmentID,JIL
SegmentID,CB1
SegmentID,BPP
SegmentID,RSC
SegmentID,TID
SegmentID,MLS
SegmentID,BIG
SegmentID,IT3
SegmentID,CAD
SegmentID,TCD
SegmentID,USD
SegmentID,TRF
SegmentID,BCD
SegmentID,SHD
SegmentID,CDD
SegmentID,N11
SegmentID,PM
SegmentID,CSM
SegmentID,CSB
SegmentID,CSC
SegmentID,PSA
SegmentID,JID
